Szkoła;Klasa;Uczeń;Lokalizacja;Typ;Metoda;Liczba_uczniów;Płeć;Obiad;Pre_test;Post_test
CCAAW;IQN;KW69V;podmiejska;niepubliczna;eksperymentalna;15;chłopiec;kwalifikuje się;62;81
CCAAW;IQN;MY8XT;podmiejska;niepubliczna;eksperymentalna;15;dziewczynka;kwalifikuje się;63;77
CCAAW;IQN;NKEK5;podmiejska;niepubliczna;eksperymentalna;15;chłopiec;kwalifikuje się;59;74
CCAAW;IQN;PCELB;podmiejska;niepubliczna;eksperymentalna;15;chłopiec;nie kwalifikuje się;63;80
CCAAW;IQN;VLKJU;podmiejska;niepubliczna;eksperymentalna;15;chłopiec;nie kwalifikuje się;66;76
CCAAW;IQN;WI916;podmiejska;niepubliczna;eksperymentalna;15;dziewczynka;nie kwalifikuje się;59;77
CCAAW;IQN;WO5E2;podmiejska;niepubliczna;eksperymentalna;15;chłopiec;kwalifikuje się;60;74
CCAAW;PGK;0U8DI;podmiejska;niepubliczna;standardowa;21;dziewczynka;kwalifikuje się;68;76
CCAAW;PGK;18YOG;podmiejska;niepubliczna;standardowa;21;chłopiec;kwalifikuje się;74;82
CCAAW;PGK;4YN68;podmiejska;niepubliczna;standardowa;21;dziewczynka;kwalifikuje się;63;73
CCAAW;PGK;905ZT;podmiejska;niepubliczna;standardowa;21;dziewczynka;kwalifikuje się;73;78
CCAAW;PGK;9WYVP;podmiejska;niepubliczna;standardowa;21;chłopiec;nie kwalifikuje się;75;83
CCAAW;PGK;A1554;podmiejska;niepubliczna;standardowa;21;dziewczynka;nie kwalifikuje się;78;84
CCAAW;PGK;BWRTH;podmiejska;niepubliczna;standardowa;21;dziewczynka;kwalifikuje się;69;78
CCAAW;PGK;CNECS;podmiejska;niepubliczna;standardowa;21;chłopiec;kwalifikuje się;73;81
CCAAW;PGK;E8RRO;podmiejska;niepubliczna;standardowa;21;chłopiec;kwalifikuje się;74;80
CCAAW;PGK;I2TFD;podmiejska;niepubliczna;standardowa;21;dziewczynka;nie kwalifikuje się;73;80
CCAAW;PGK;I4BNO;podmiejska;niepubliczna;standardowa;21;dziewczynka;kwalifikuje się;68;82
CCAAW;PGK;IY6DQ;podmiejska;niepubliczna;standardowa;21;dziewczynka;nie kwalifikuje się;72;84
CCAAW;PGK;LB8XY;podmiejska;niepubliczna;standardowa;21;dziewczynka;nie kwalifikuje się;73;80
CCAAW;PGK;LHBRT;podmiejska;niepubliczna;standardowa;21;chłopiec;nie kwalifikuje się;71;91
CCAAW;PGK;NVH1O;podmiejska;niepubliczna;standardowa;21;chłopiec;nie kwalifikuje się;73;80
CCAAW;PGK;O4BQF;podmiejska;niepubliczna;standardowa;21;dziewczynka;nie kwalifikuje się;76;80
CCAAW;PGK;ODYMF;podmiejska;niepubliczna;standardowa;21;dziewczynka;nie kwalifikuje się;70;84
CCAAW;PGK;QLX2Z;podmiejska;niepubliczna;standardowa;21;dziewczynka;nie kwalifikuje się;71;78
CCAAW;PGK;QPPQJ;podmiejska;niepubliczna;standardowa;21;chłopiec;nie kwalifikuje się;76;85
CCAAW;PGK;ST8FC;podmiejska;niepubliczna;standardowa;21;dziewczynka;nie kwalifikuje się;72;83
CCAAW;PGK;XTC1Q;podmiejska;niepubliczna;standardowa;21;chłopiec;nie kwalifikuje się;71;83
CCAAW;UHU;0MRJH;podmiejska;niepubliczna;eksperymentalna;16;dziewczynka;kwalifikuje się;49;68
CCAAW;UHU;1RN82;podmiejska;niepubliczna;eksperymentalna;16;dziewczynka;nie kwalifikuje się;55;70
CCAAW;UHU;24AN2;podmiejska;niepubliczna;eksperymentalna;16;dziewczynka;kwalifikuje się;60;73
CCAAW;UHU;2XT73;podmiejska;niepubliczna;eksperymentalna;16;dziewczynka;kwalifikuje się;59;73
CCAAW;UHU;65RSM;podmiejska;niepubliczna;eksperymentalna;16;chłopiec;nie kwalifikuje się;59;70
CCAAW;UHU;6QNQ9;podmiejska;niepubliczna;eksperymentalna;16;dziewczynka;kwalifikuje się;55;69
CCAAW;UHU;76O2H;podmiejska;niepubliczna;eksperymentalna;16;chłopiec;nie kwalifikuje się;55;71
CCAAW;UHU;EUUCT;podmiejska;niepubliczna;eksperymentalna;16;dziewczynka;nie kwalifikuje się;56;74
CCAAW;UHU;FUCFP;podmiejska;niepubliczna;eksperymentalna;16;dziewczynka;kwalifikuje się;53;69
CCAAW;UHU;G3L6V;podmiejska;niepubliczna;eksperymentalna;16;dziewczynka;kwalifikuje się;48;70
CCAAW;UHU;I0XVJ;podmiejska;niepubliczna;eksperymentalna;16;dziewczynka;nie kwalifikuje się;62;76
CCAAW;UHU;IYNXL;podmiejska;niepubliczna;eksperymentalna;16;chłopiec;nie kwalifikuje się;58;75
CCAAW;UHU;M5NZM;podmiejska;niepubliczna;eksperymentalna;16;dziewczynka;kwalifikuje się;52;69
CCAAW;UHU;PKG8H;podmiejska;niepubliczna;eksperymentalna;16;dziewczynka;nie kwalifikuje się;59;67
CCAAW;UHU;RM0W4;podmiejska;niepubliczna;eksperymentalna;16;dziewczynka;kwalifikuje się;53;69
CCAAW;UHU;XWY2X;podmiejska;niepubliczna;eksperymentalna;16;dziewczynka;nie kwalifikuje się;57;72
CCAAW;UWK;0DLKI;podmiejska;niepubliczna;standardowa;19;chłopiec;nie kwalifikuje się;68;76
CCAAW;UWK;1F817;podmiejska;niepubliczna;standardowa;19;chłopiec;nie kwalifikuje się;67;80
CCAAW;UWK;1IK2C;podmiejska;niepubliczna;standardowa;19;dziewczynka;kwalifikuje się;67;76
CCAAW;UWK;1OFX7;podmiejska;niepubliczna;standardowa;19;dziewczynka;nie kwalifikuje się;66;82
CCAAW;UWK;21IQZ;podmiejska;niepubliczna;standardowa;19;dziewczynka;nie kwalifikuje się;58;72
CCAAW;UWK;5I0TO;podmiejska;niepubliczna;standardowa;19;dziewczynka;nie kwalifikuje się;61;70
CCAAW;UWK;5SQKW;podmiejska;niepubliczna;standardowa;19;chłopiec;nie kwalifikuje się;63;75
CCAAW;UWK;7PLYH;podmiejska;niepubliczna;standardowa;19;dziewczynka;nie kwalifikuje się;68;77
CCAAW;UWK;8MLVH;podmiejska;niepubliczna;standardowa;19;dziewczynka;kwalifikuje się;61;76
CCAAW;UWK;CGX72;podmiejska;niepubliczna;standardowa;19;dziewczynka;nie kwalifikuje się;75;83
CCAAW;UWK;IBX0J;podmiejska;niepubliczna;standardowa;19;dziewczynka;kwalifikuje się;68;75
CCAAW;UWK;JY21F;podmiejska;niepubliczna;standardowa;19;dziewczynka;kwalifikuje się;65;72
CCAAW;UWK;L4B6P;podmiejska;niepubliczna;standardowa;19;dziewczynka;kwalifikuje się;65;77
CCAAW;UWK;PYYX9;podmiejska;niepubliczna;standardowa;19;dziewczynka;kwalifikuje się;61;77
CCAAW;UWK;QZI3R;podmiejska;niepubliczna;standardowa;19;dziewczynka;kwalifikuje się;62;69
CCAAW;UWK;RYJH1;podmiejska;niepubliczna;standardowa;19;chłopiec;kwalifikuje się;65;74
CCAAW;UWK;TKWII;podmiejska;niepubliczna;standardowa;19;dziewczynka;kwalifikuje się;70;79
CCAAW;UWK;X6ZCW;podmiejska;niepubliczna;standardowa;19;dziewczynka;kwalifikuje się;65;74
CCAAW;UWK;ZDLQB;podmiejska;niepubliczna;standardowa;19;dziewczynka;kwalifikuje się;60;73
CIMBB;A33;0WW6N;miejska;niepubliczna;standardowa;19;chłopiec;nie kwalifikuje się;60;67
CIMBB;A33;5IKFU;miejska;niepubliczna;standardowa;19;chłopiec;nie kwalifikuje się;62;70
CIMBB;A33;7ODZ6;miejska;niepubliczna;standardowa;19;chłopiec;nie kwalifikuje się;59;73
CIMBB;A33;BD0UJ;miejska;niepubliczna;standardowa;19;chłopiec;nie kwalifikuje się;62;72
CIMBB;A33;F08JN;miejska;niepubliczna;standardowa;19;chłopiec;nie kwalifikuje się;54;68
CIMBB;A33;FRA61;miejska;niepubliczna;standardowa;19;dziewczynka;nie kwalifikuje się;58;66
CIMBB;A33;FZVQF;miejska;niepubliczna;standardowa;19;chłopiec;nie kwalifikuje się;58;66
CIMBB;A33;GXVKS;miejska;niepubliczna;standardowa;19;chłopiec;nie kwalifikuje się;60;69
CIMBB;A33;IUX8B;miejska;niepubliczna;standardowa;19;chłopiec;nie kwalifikuje się;68;78
CIMBB;A33;KL3L4;miejska;niepubliczna;standardowa;19;dziewczynka;nie kwalifikuje się;55;69
CIMBB;A33;NV5M7;miejska;niepubliczna;standardowa;19;dziewczynka;nie kwalifikuje się;61;71
CIMBB;A33;PBE3E;miejska;niepubliczna;standardowa;19;dziewczynka;nie kwalifikuje się;61;71
CIMBB;A33;QB9ZX;miejska;niepubliczna;standardowa;19;chłopiec;nie kwalifikuje się;61;70
CIMBB;A33;SM22E;miejska;niepubliczna;standardowa;19;chłopiec;nie kwalifikuje się;64;81
CIMBB;A33;U2O2E;miejska;niepubliczna;standardowa;19;dziewczynka;nie kwalifikuje się;61;72
CIMBB;A33;UOZAQ;miejska;niepubliczna;standardowa;19;dziewczynka;kwalifikuje się;54;69
CIMBB;A33;XGJ6Y;miejska;niepubliczna;standardowa;19;dziewczynka;nie kwalifikuje się;56;65
CIMBB;A33;Y0PR8;miejska;niepubliczna;standardowa;19;dziewczynka;nie kwalifikuje się;55;64
CIMBB;A33;YB3AW;miejska;niepubliczna;standardowa;19;dziewczynka;nie kwalifikuje się;65;71
CIMBB;EID;03T0E;miejska;niepubliczna;standardowa;21;chłopiec;nie kwalifikuje się;64;76
CIMBB;EID;13IGD;miejska;niepubliczna;standardowa;21;chłopiec;nie kwalifikuje się;72;79
CIMBB;EID;2BCEE;miejska;niepubliczna;standardowa;21;dziewczynka;nie kwalifikuje się;72;78
CIMBB;EID;4RRBE;miejska;niepubliczna;standardowa;21;chłopiec;nie kwalifikuje się;67;72
CIMBB;EID;5RT1S;miejska;niepubliczna;standardowa;21;chłopiec;nie kwalifikuje się;64;74
CIMBB;EID;6MBC0;miejska;niepubliczna;standardowa;21;dziewczynka;nie kwalifikuje się;69;79
CIMBB;EID;7T7C2;miejska;niepubliczna;standardowa;21;chłopiec;nie kwalifikuje się;67;78
CIMBB;EID;A90E3;miejska;niepubliczna;standardowa;21;chłopiec;nie kwalifikuje się;70;76
CIMBB;EID;C4WMS;miejska;niepubliczna;standardowa;21;chłopiec;nie kwalifikuje się;64;77
CIMBB;EID;DG5U0;miejska;niepubliczna;standardowa;21;dziewczynka;nie kwalifikuje się;64;75
CIMBB;EID;H033K;miejska;niepubliczna;standardowa;21;chłopiec;nie kwalifikuje się;69;78
CIMBB;EID;HM7JY;miejska;niepubliczna;standardowa;21;dziewczynka;nie kwalifikuje się;70;82
CIMBB;EID;IDT35;miejska;niepubliczna;standardowa;21;chłopiec;nie kwalifikuje się;71;78
CIMBB;EID;J8ME6;miejska;niepubliczna;standardowa;21;dziewczynka;nie kwalifikuje się;67;80
CIMBB;EID;O9Z89;miejska;niepubliczna;standardowa;21;dziewczynka;nie kwalifikuje się;69;79
CIMBB;EID;RZB93;miejska;niepubliczna;standardowa;21;chłopiec;nie kwalifikuje się;69;80
CIMBB;EID;THSH4;miejska;niepubliczna;standardowa;21;chłopiec;nie kwalifikuje się;66;81
CIMBB;EID;TLZHB;miejska;niepubliczna;standardowa;21;dziewczynka;nie kwalifikuje się;64;78
CIMBB;EID;W6N8C;miejska;niepubliczna;standardowa;21;dziewczynka;nie kwalifikuje się;69;82
CIMBB;EID;XGPLY;miejska;niepubliczna;standardowa;21;dziewczynka;nie kwalifikuje się;67;82
CIMBB;EID;Z3KSE;miejska;niepubliczna;standardowa;21;dziewczynka;nie kwalifikuje się;65;76
CIMBB;HUJ;1FA55;miejska;niepubliczna;eksperymentalna;17;chłopiec;nie kwalifikuje się;64;88
CIMBB;HUJ;3MV44;miejska;niepubliczna;eksperymentalna;17;chłopiec;nie kwalifikuje się;64;80
CIMBB;HUJ;4LM4Y;miejska;niepubliczna;eksperymentalna;17;chłopiec;nie kwalifikuje się;73;81
CIMBB;HUJ;792N5;miejska;niepubliczna;eksperymentalna;17;dziewczynka;nie kwalifikuje się;66;83
CIMBB;HUJ;8TW6G;miejska;niepubliczna;eksperymentalna;17;chłopiec;nie kwalifikuje się;56;78
CIMBB;HUJ;9HA2N;miejska;niepubliczna;eksperymentalna;17;chłopiec;nie kwalifikuje się;67;87
CIMBB;HUJ;B8EP0;miejska;niepubliczna;eksperymentalna;17;dziewczynka;nie kwalifikuje się;62;82
CIMBB;HUJ;BQ8E0;miejska;niepubliczna;eksperymentalna;17;dziewczynka;nie kwalifikuje się;68;82
CIMBB;HUJ;E25O4;miejska;niepubliczna;eksperymentalna;17;dziewczynka;nie kwalifikuje się;69;84
CIMBB;HUJ;IFRIJ;miejska;niepubliczna;eksperymentalna;17;dziewczynka;nie kwalifikuje się;68;85
CIMBB;HUJ;IOQIU;miejska;niepubliczna;eksperymentalna;17;chłopiec;nie kwalifikuje się;63;82
CIMBB;HUJ;JGBZA;miejska;niepubliczna;eksperymentalna;17;dziewczynka;nie kwalifikuje się;72;83
CIMBB;HUJ;JU9C5;miejska;niepubliczna;eksperymentalna;17;chłopiec;nie kwalifikuje się;70;82
CIMBB;HUJ;M0CLJ;miejska;niepubliczna;eksperymentalna;17;chłopiec;nie kwalifikuje się;68;87
CIMBB;HUJ;V69IG;miejska;niepubliczna;eksperymentalna;17;dziewczynka;nie kwalifikuje się;64;85
CIMBB;HUJ;WY9TV;miejska;niepubliczna;eksperymentalna;17;chłopiec;nie kwalifikuje się;64;78
CIMBB;HUJ;XKSFM;miejska;niepubliczna;eksperymentalna;17;chłopiec;nie kwalifikuje się;61;77
CIMBB;PC6;1C30U;miejska;niepubliczna;standardowa;17;chłopiec;nie kwalifikuje się;70;78
CIMBB;PC6;4XEXD;miejska;niepubliczna;standardowa;17;dziewczynka;nie kwalifikuje się;65;79
CIMBB;PC6;7Z1S4;miejska;niepubliczna;standardowa;17;dziewczynka;nie kwalifikuje się;63;72
CIMBB;PC6;8DR2M;miejska;niepubliczna;standardowa;17;dziewczynka;nie kwalifikuje się;68;80
CIMBB;PC6;BO4NT;miejska;niepubliczna;standardowa;17;dziewczynka;nie kwalifikuje się;66;75
CIMBB;PC6;DBPV7;miejska;niepubliczna;standardowa;17;dziewczynka;nie kwalifikuje się;64;75
CIMBB;PC6;EQUU9;miejska;niepubliczna;standardowa;17;dziewczynka;nie kwalifikuje się;68;77
CIMBB;PC6;ETDRG;miejska;niepubliczna;standardowa;17;dziewczynka;nie kwalifikuje się;67;79
CIMBB;PC6;G8VM9;miejska;niepubliczna;standardowa;17;chłopiec;nie kwalifikuje się;66;75
CIMBB;PC6;GS9HH;miejska;niepubliczna;standardowa;17;chłopiec;nie kwalifikuje się;68;80
CIMBB;PC6;J4LOI;miejska;niepubliczna;standardowa;17;dziewczynka;nie kwalifikuje się;72;86
CIMBB;PC6;K7YOS;miejska;niepubliczna;standardowa;17;dziewczynka;nie kwalifikuje się;69;76
CIMBB;PC6;M2OMY;miejska;niepubliczna;standardowa;17;chłopiec;nie kwalifikuje się;68;78
CIMBB;PC6;P0F2W;miejska;niepubliczna;standardowa;17;dziewczynka;nie kwalifikuje się;62;75
CIMBB;PC6;U6C5U;miejska;niepubliczna;standardowa;17;dziewczynka;nie kwalifikuje się;71;80
CIMBB;PC6;VQ6PP;miejska;niepubliczna;standardowa;17;chłopiec;nie kwalifikuje się;72;79
CIMBB;PC6;XJPON;miejska;niepubliczna;standardowa;17;chłopiec;nie kwalifikuje się;64;74
CUQAM;1Q1;14K8S;miejska;publiczna;standardowa;28;dziewczynka;nie kwalifikuje się;55;70
CUQAM;1Q1;1V9FC;miejska;publiczna;standardowa;28;chłopiec;kwalifikuje się;55;67
CUQAM;1Q1;2NV1C;miejska;publiczna;standardowa;28;chłopiec;nie kwalifikuje się;58;70
CUQAM;1Q1;4TYX0;miejska;publiczna;standardowa;28;dziewczynka;nie kwalifikuje się;60;67
CUQAM;1Q1;5HS69;miejska;publiczna;standardowa;28;dziewczynka;nie kwalifikuje się;58;69
CUQAM;1Q1;6AEX4;miejska;publiczna;standardowa;28;dziewczynka;nie kwalifikuje się;52;63
CUQAM;1Q1;6O48K;miejska;publiczna;standardowa;28;chłopiec;nie kwalifikuje się;53;67
CUQAM;1Q1;7R2Y4;miejska;publiczna;standardowa;28;chłopiec;nie kwalifikuje się;53;68
CUQAM;1Q1;82W8S;miejska;publiczna;standardowa;28;chłopiec;nie kwalifikuje się;54;68
CUQAM;1Q1;D4HCS;miejska;publiczna;standardowa;28;chłopiec;nie kwalifikuje się;59;70
CUQAM;1Q1;F0FIP;miejska;publiczna;standardowa;28;chłopiec;nie kwalifikuje się;55;65
CUQAM;1Q1;GK727;miejska;publiczna;standardowa;28;chłopiec;nie kwalifikuje się;56;67
CUQAM;1Q1;H9BKE;miejska;publiczna;standardowa;28;chłopiec;nie kwalifikuje się;58;67
CUQAM;1Q1;J82SA;miejska;publiczna;standardowa;28;dziewczynka;nie kwalifikuje się;58;65
CUQAM;1Q1;K8KRE;miejska;publiczna;standardowa;28;chłopiec;kwalifikuje się;58;65
CUQAM;1Q1;KB2DJ;miejska;publiczna;standardowa;28;chłopiec;nie kwalifikuje się;60;74
CUQAM;1Q1;MMOCM;miejska;publiczna;standardowa;28;dziewczynka;nie kwalifikuje się;60;69
CUQAM;1Q1;MQHOL;miejska;publiczna;standardowa;28;chłopiec;nie kwalifikuje się;56;61
CUQAM;1Q1;N2HZ8;miejska;publiczna;standardowa;28;dziewczynka;nie kwalifikuje się;56;69
CUQAM;1Q1;PPWAC;miejska;publiczna;standardowa;28;chłopiec;nie kwalifikuje się;56;74
