sweaters;knit_tops;knit_dres;blouses;jackets;car_pnts;cas_pnts;shirts;dresses;suits;outerwear;jewerly;fashion;legwear;collspnd
1;0;1;1;1;1;1;1;1;0;0;1;1;1;0
1;1;1;1;1;1;1;0;0;0;0;1;1;1;1
1;1;1;1;1;0;0;1;0;0;1;1;1;1;0
1;1;0;1;1;1;1;1;1;0;0;0;0;0;0
1;1;0;1;1;1;1;1;1;0;0;0;0;0;1
1;1;1;1;1;1;1;1;1;0;1;0;1;1;1
1;1;1;1;1;1;1;1;1;0;0;0;1;0;1
1;1;1;1;1;0;1;1;1;0;1;1;1;0;1
1;1;1;1;1;1;1;1;1;0;0;0;0;0;1
1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
1;1;1;1;1;0;0;1;1;1;0;0;0;0;0
1;1;1;1;1;0;1;0;0;0;0;0;1;0;0
1;1;1;1;1;0;1;1;1;0;0;1;1;1;0
1;0;1;1;1;1;0;1;1;0;0;0;1;0;1
0;0;0;1;1;1;1;1;0;0;0;0;1;1;1
1;0;1;1;1;1;0;1;1;0;0;0;1;1;1
1;0;1;1;1;1;0;1;1;0;0;1;1;1;0
1;1;1;1;1;0;1;0;0;0;0;1;1;1;0
1;1;0;1;0;1;1;0;0;0;0;0;1;0;0
1;0;1;1;1;1;0;1;1;0;1;0;1;1;1
1;1;1;1;1;1;1;1;1;0;0;0;1;0;1
1;1;0;1;1;1;1;1;0;0;0;0;1;0;0
1;0;0;1;0;1;0;1;1;0;1;1;1;0;0
1;1;1;1;1;1;1;1;0;0;0;1;1;0;1
1;1;1;1;1;0;0;1;1;0;1;1;1;0;0
1;0;1;1;1;1;1;1;1;0;0;0;1;1;0
1;1;1;1;1;1;1;1;1;0;1;0;1;0;1
1;1;0;1;1;1;1;1;1;1;0;1;1;1;0
1;1;0;1;1;1;0;1;1;0;0;1;1;0;1
1;0;1;1;1;1;0;1;1;0;0;1;1;0;0
1;0;1;1;1;1;0;0;1;0;0;1;1;0;1
1;1;1;1;1;1;0;0;0;0;0;0;1;0;0
1;1;1;1;1;1;1;1;0;0;1;1;1;0;0
0;1;1;1;1;1;1;1;1;0;0;0;1;1;1
1;1;1;1;1;1;1;1;1;0;0;1;0;0;1
1;1;1;1;0;1;0;1;1;0;0;1;0;1;0
1;1;0;1;1;1;1;1;1;0;0;1;1;1;0
1;1;1;1;1;1;1;1;1;0;0;1;1;1;0
1;1;1;1;0;0;1;0;0;0;0;1;1;1;0
1;0;0;1;1;1;1;0;0;0;0;1;1;1;1
1;0;1;1;1;1;0;1;1;0;1;1;1;0;0
1;1;1;1;1;0;1;1;0;0;1;0;1;0;0
1;0;1;1;1;1;0;1;1;0;0;1;1;0;0
1;0;0;1;1;1;1;0;1;0;0;0;1;1;1
1;1;1;1;1;1;1;1;1;0;0;1;1;1;0
1;1;1;0;1;1;1;1;1;0;1;1;1;0;0
1;1;1;1;1;0;1;1;0;0;1;1;1;0;0
1;1;0;1;1;0;1;1;0;0;0;1;1;1;0
0;1;1;1;1;1;1;1;1;0;0;1;1;0;1
1;1;1;1;0;0;1;1;1;0;0;0;0;1;0
1;1;1;1;1;0;1;0;0;0;0;1;1;1;0
1;1;1;0;1;1;1;0;1;0;0;0;1;1;0
1;1;1;1;1;1;1;1;0;0;1;0;1;1;0
1;1;1;1;1;1;1;1;1;0;0;0;0;0;1
1;1;0;1;1;1;1;1;0;0;0;0;1;1;0
1;1;0;1;0;1;1;1;1;0;0;1;1;0;1
1;1;1;1;1;1;0;0;0;0;0;0;1;0;1
1;0;1;1;0;1;1;0;0;0;0;1;1;1;0
1;0;0;1;1;1;1;1;0;0;0;1;1;0;1
1;1;1;1;1;0;1;1;0;0;0;0;0;0;0
1;1;1;1;1;1;0;0;0;0;0;1;0;0;0
1;1;1;1;1;1;1;1;1;0;0;1;1;0;1
1;1;1;1;1;1;1;0;1;0;0;1;1;1;0
1;1;1;0;0;0;1;0;1;0;0;1;1;0;0
1;0;0;1;1;1;1;1;0;0;1;0;1;0;0
1;1;0;1;0;1;1;0;1;0;0;0;1;1;0
1;1;1;1;1;1;1;0;0;0;0;0;1;1;1
0;0;1;1;1;1;1;0;0;0;0;0;0;0;0
1;1;1;1;1;1;1;1;0;0;1;1;1;1;0
1;0;1;1;1;0;0;1;1;0;0;1;1;0;0
1;1;1;1;1;1;0;1;0;0;0;1;1;0;0
1;0;0;1;0;1;1;0;0;0;0;0;1;0;0
0;1;0;1;1;1;1;1;1;0;0;1;1;1;0
1;1;1;1;1;1;1;1;0;0;1;1;0;0;0
1;1;1;1;1;1;1;1;0;0;0;1;1;0;0
1;1;1;1;1;1;1;1;1;0;0;1;0;1;0
1;1;1;1;1;1;1;0;1;1;0;1;1;1;0
1;1;0;1;1;1;1;1;1;0;0;1;1;0;1
1;1;1;1;1;1;0;0;0;0;0;0;1;0;1
1;1;1;1;0;1;1;0;0;0;0;0;0;0;0
1;1;0;1;1;1;1;1;0;0;0;0;0;0;1
1;1;1;1;1;1;1;1;1;0;0;0;1;0;0
1;0;0;1;1;0;1;1;1;0;0;0;1;0;1
1;0;1;1;1;1;1;0;0;0;0;1;1;0;1
1;1;1;0;1;1;1;1;1;0;1;1;1;0;0
1;1;1;1;1;1;1;1;0;0;0;1;1;0;1
0;1;1;1;0;0;1;0;0;0;1;0;0;0;0
1;1;1;1;1;1;1;0;1;0;1;1;1;0;0
1;1;0;1;1;0;0;1;0;0;0;0;0;0;0
1;1;0;1;1;1;1;1;1;1;0;1;0;0;0
1;0;1;1;1;1;1;1;1;1;1;0;0;1;1
1;1;0;1;0;1;1;0;0;0;0;0;0;1;0
0;1;0;0;1;0;1;1;1;0;0;1;1;1;1
1;1;1;1;1;1;1;1;1;1;0;0;0;1;0
1;1;1;1;0;1;1;1;0;0;0;1;1;1;0
1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
1;1;1;1;1;1;1;1;1;0;1;1;1;1;0
1;1;1;1;1;1;1;0;1;0;0;0;1;0;0
1;1;0;1;1;0;1;1;0;0;0;1;1;0;1
1;0;0;1;1;1;1;1;1;0;0;0;1;0;1
1;0;0;1;0;1;0;1;0;0;0;0;0;0;1
1;0;1;1;1;0;0;0;0;0;0;0;0;0;1
1;1;0;1;1;1;1;0;0;0;1;0;1;1;0
1;1;0;1;1;1;0;1;0;0;0;1;0;0;1
1;1;0;1;1;1;1;0;1;0;0;0;0;1;1
1;0;0;1;1;0;0;1;1;0;0;0;1;0;0
1;0;0;1;0;1;0;0;1;0;0;0;0;0;1
1;1;0;1;1;0;1;0;0;0;0;1;1;1;0
1;1;1;1;1;1;1;1;0;0;0;1;1;1;1
1;1;1;1;1;0;1;1;0;0;0;0;0;1;0
1;1;1;1;0;1;1;1;0;0;0;1;1;0;0
1;1;0;1;1;1;1;1;0;0;0;0;0;0;0
1;1;1;1;0;1;0;0;1;0;0;1;0;0;0
1;1;1;0;1;1;1;0;0;0;0;0;1;0;0
1;0;0;1;1;1;0;0;0;0;0;1;0;0;1
0;1;0;1;0;0;0;0;1;0;1;0;0;0;0
1;1;1;1;0;1;1;0;0;0;1;0;1;1;1
1;1;0;0;0;0;1;1;0;0;0;0;1;0;0
1;1;0;1;1;1;1;0;0;0;0;0;0;1;1
1;1;0;1;0;0;1;0;1;0;0;1;0;0;0
1;0;0;1;1;1;0;0;0;1;0;0;0;0;1
1;1;1;1;0;1;1;0;1;0;0;0;0;0;0
1;1;0;1;1;1;0;0;1;0;0;1;1;0;1
0;0;0;1;0;0;1;0;1;0;0;0;1;0;0
1;1;1;1;1;1;1;1;1;1;0;1;1;1;0
1;1;0;1;1;0;0;1;1;0;0;0;1;1;1
1;1;0;1;0;0;1;0;0;0;0;0;1;0;0
1;0;0;1;0;1;1;0;0;0;0;0;1;0;0
1;1;1;1;0;0;1;0;0;0;0;1;0;1;0
1;1;0;1;1;1;1;0;0;0;0;1;1;1;0
1;1;1;1;0;1;0;1;0;0;0;0;0;1;1
1;1;0;1;1;1;1;1;1;0;0;0;1;0;0
1;0;1;1;1;1;1;0;0;0;0;1;0;0;1
1;0;1;0;0;0;1;0;0;0;0;0;0;0;0
0;0;0;1;1;1;0;1;0;0;0;0;1;1;1
1;1;1;1;1;1;1;1;0;0;1;1;1;1;1
0;1;1;1;1;1;1;1;0;0;0;0;1;0;1
0;1;1;0;0;1;1;0;1;0;0;0;0;1;0
1;1;0;1;0;0;1;1;0;0;0;1;1;0;0
1;1;1;1;1;1;1;1;0;1;0;1;1;1;1
1;0;0;1;1;0;0;1;0;0;0;1;1;1;1
1;1;1;1;1;0;0;1;1;0;0;0;1;1;0
1;1;1;1;1;0;1;1;1;0;1;1;1;1;0
1;1;0;1;0;0;0;1;0;0;0;0;0;0;0
1;1;0;1;1;1;0;1;1;0;0;0;0;0;0
1;1;1;1;1;1;1;1;1;0;0;0;1;1;1
1;0;1;1;0;0;1;1;1;0;0;0;1;0;0
1;1;1;1;0;1;1;0;0;0;0;0;0;0;1
1;0;0;0;0;1;1;1;0;0;0;0;1;0;1
1;1;0;1;0;1;1;0;0;0;0;0;1;0;1
0;0;1;1;1;1;0;0;0;0;0;0;0;1;1
1;1;1;1;1;1;1;1;1;0;1;1;1;1;1
1;1;1;1;0;0;1;0;0;0;0;1;0;0;0
1;1;1;1;0;0;1;1;1;0;0;0;1;0;0
1;0;0;1;0;1;0;0;1;0;0;0;1;1;0
1;0;0;1;1;1;0;0;0;0;0;0;1;1;1
0;0;1;1;1;1;1;0;0;0;0;1;0;0;1
1;1;1;1;1;1;0;1;1;0;0;0;1;0;1
1;1;1;1;1;1;0;0;1;0;1;0;1;0;1
1;0;0;1;1;1;0;1;0;0;0;1;1;0;0
1;1;1;1;1;1;1;1;1;0;0;0;1;1;1
0;1;0;1;1;0;1;0;1;0;0;0;1;0;0
0;0;0;0;1;1;1;1;0;0;0;0;1;0;1
1;1;0;1;1;1;1;0;0;0;0;1;0;0;0
1;1;1;1;1;0;1;1;1;0;1;1;1;1;0
1;0;1;1;1;1;1;1;1;0;0;1;1;0;0
1;1;0;1;1;1;1;0;0;0;0;0;0;0;1
0;0;0;1;1;1;0;1;0;0;0;0;0;0;1
1;0;1;1;1;1;0;1;1;0;0;0;0;0;0
1;1;1;1;0;0;1;0;0;0;0;0;0;0;0
1;1;0;1;1;1;1;0;1;0;0;0;1;0;0
1;1;0;1;1;1;0;1;0;1;0;1;1;1;1
1;1;1;1;0;1;1;0;0;0;1;1;1;0;0
1;1;1;1;1;1;1;1;1;0;0;0;0;1;1
1;1;1;1;1;1;1;0;1;0;0;0;1;1;1
1;1;0;1;0;1;1;0;1;0;0;0;1;0;0
1;1;1;1;1;1;1;1;0;0;0;1;0;0;1
1;1;1;1;1;1;1;1;1;0;1;1;1;0;0
1;0;1;1;1;1;0;1;0;0;0;0;0;0;0
1;0;0;1;0;0;1;1;1;0;0;0;1;1;0
1;0;1;1;1;0;1;1;1;0;0;1;0;1;0
1;0;1;1;0;1;0;0;1;0;0;0;0;0;0
1;0;1;1;1;1;0;0;0;0;0;1;1;1;1
1;1;1;1;1;1;1;1;1;1;0;0;1;1;1
0;0;0;1;1;1;1;0;0;0;0;0;1;0;0
1;1;1;1;1;1;1;0;1;0;0;0;1;0;0
1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
1;0;1;1;0;1;1;0;1;0;1;1;1;0;0
1;1;0;1;0;0;1;1;1;0;0;0;1;0;0
0;0;1;0;1;1;0;1;0;0;0;1;0;0;0
1;0;0;1;1;1;0;1;0;0;0;0;1;0;1
1;1;0;1;0;0;1;0;1;0;0;0;1;1;0
0;0;0;1;1;1;0;1;0;0;0;0;1;0;1
1;1;1;1;1;1;1;1;1;1;0;1;1;1;0
1;0;0;1;1;1;1;1;1;0;0;1;0;0;0
1;1;1;1;1;1;0;1;1;0;0;1;1;1;0
0;0;0;1;0;0;1;0;0;0;0;0;1;0;0
1;1;1;1;1;1;1;0;1;0;0;1;0;0;1
1;0;0;0;0;0;1;0;0;0;0;1;1;1;0
1;1;1;1;1;1;1;1;0;0;0;0;0;1;1
1;0;0;1;1;0;0;1;0;0;0;0;1;0;0
1;1;1;1;0;0;1;0;1;0;0;1;0;0;0
1;0;0;0;1;1;0;0;0;0;0;0;1;0;1
1;1;0;1;1;1;1;1;0;0;0;1;1;0;1
0;1;0;1;1;1;1;1;1;1;0;0;0;0;0
1;1;0;1;1;1;1;0;1;0;0;0;0;0;1
1;1;1;1;1;1;1;1;1;0;0;1;1;1;1
1;1;1;1;1;1;0;1;1;0;0;1;1;1;1
1;1;0;1;1;1;0;1;1;1;0;1;0;0;0
1;0;0;0;1;1;0;1;0;0;0;1;1;1;1
0;1;1;0;0;0;1;1;0;0;0;0;1;0;0
1;0;0;1;0;0;0;0;0;0;0;1;1;1;0
1;1;1;1;1;1;1;1;1;0;1;1;1;1;1
0;0;1;0;0;1;1;0;0;0;0;0;0;0;0
1;0;0;0;1;0;0;0;0;0;0;0;1;1;0
1;1;0;1;1;1;1;0;0;1;0;0;0;0;1
1;0;0;0;1;1;0;0;1;0;0;1;0;1;1
0;1;0;1;0;0;1;1;1;0;0;0;1;0;0
1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;0;0;1;1;1;0
1;1;1;0;0;0;1;0;1;0;1;1;1;0;0
1;0;1;1;1;1;0;1;0;0;0;0;0;0;0
0;0;0;1;1;0;1;1;0;0;0;1;1;1;0
1;0;0;1;1;1;1;0;0;0;0;0;1;1;0
1;1;1;1;1;1;1;1;1;0;1;1;0;0;0
1;0;1;1;1;0;1;1;1;0;0;1;0;0;0
1;1;0;1;1;1;0;1;0;0;1;1;1;0;1
0;0;1;0;1;0;0;0;0;0;0;1;0;1;1
1;1;0;1;1;1;1;1;0;0;1;0;0;0;1
0;0;0;1;1;1;1;0;1;0;0;0;1;0;1
1;1;1;0;1;1;0;0;0;0;0;1;0;0;0
1;0;1;1;1;0;1;1;0;0;0;0;1;1;0
0;1;1;1;1;0;0;1;0;0;0;0;1;0;0
0;1;1;1;0;0;0;1;0;0;0;1;0;0;0
1;0;1;1;0;0;0;1;0;0;0;0;1;0;0
1;1;0;1;1;1;0;1;0;0;0;1;1;1;0
1;1;1;0;0;0;0;1;0;0;0;1;1;1;0
1;0;0;0;1;1;0;0;0;0;0;0;0;0;1
1;1;0;1;0;1;0;0;1;0;0;1;0;0;1
1;0;0;0;0;0;1;0;1;0;0;1;1;0;0
1;1;0;0;0;0;1;1;0;0;0;1;1;1;0
1;1;0;1;0;1;1;1;0;0;0;0;0;0;0
1;1;1;1;0;0;0;0;0;0;0;0;1;0;0
1;0;1;1;0;0;1;0;1;0;0;1;0;0;0
0;0;0;1;1;1;1;0;0;0;0;0;0;1;1
1;0;0;1;0;0;1;0;1;0;0;0;0;0;0
1;0;1;1;0;0;0;1;1;0;1;0;1;0;0
1;1;0;1;1;1;1;0;0;0;0;0;1;0;0
0;0;0;1;1;0;0;1;0;0;0;0;1;0;0
1;0;0;1;0;0;1;1;1;0;1;1;1;0;0
1;0;1;1;1;0;1;1;1;1;0;1;1;1;0
1;1;1;1;1;1;1;1;1;0;1;1;1;1;1
1;0;0;1;0;0;1;1;1;0;0;0;0;1;0
1;0;0;1;1;1;0;0;1;0;0;0;1;1;0
1;0;1;1;1;0;0;0;1;1;0;0;0;0;1
1;1;1;1;1;0;0;0;0;0;1;0;0;1;1
0;0;1;1;1;1;0;1;0;0;0;0;0;1;1
0;0;0;0;0;1;0;1;0;0;0;1;0;1;0
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;0;1;1;1;1;0;1;0;0;1;0;1;0;1
1;1;0;1;1;0;0;0;0;0;0;0;1;0;0
0;0;1;1;0;0;1;1;1;0;0;1;0;1;0
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0;0;0;1;1;1;0;0;0;0;0;0;0;0;1
1;0;0;1;1;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;1;0;0;0;0;0;0;1;1;1
1;1;0;0;0;0;1;0;1;0;0;0;1;0;0
0;1;0;1;0;1;1;0;1;0;0;0;1;0;0
1;1;1;1;1;1;1;1;1;1;0;1;1;0;0
1;1;0;1;0;0;0;0;1;0;0;0;0;0;0
1;1;1;1;1;1;1;0;1;1;0;0;1;1;0
1;1;1;1;0;0;1;1;1;0;0;0;0;0;0
1;0;0;1;0;1;0;0;0;0;0;1;0;1;0
1;0;0;1;1;0;1;0;1;0;0;0;1;0;0
1;1;0;1;1;1;1;0;0;0;0;1;1;0;1
1;0;0;0;1;0;0;1;0;0;0;0;0;0;0
0;1;1;0;0;1;0;1;1;0;0;0;0;1;1
0;0;0;0;1;1;0;0;0;0;1;0;0;0;0
1;0;1;1;1;0;1;1;0;0;0;0;0;0;1
0;1;0;1;0;0;1;0;0;0;0;0;0;0;0
1;0;0;1;1;1;0;0;1;0;0;0;1;0;1
0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
1;1;0;1;1;1;1;1;1;0;0;1;0;1;1
1;1;0;1;0;0;0;0;0;0;0;0;1;0;0
1;0;0;1;0;1;0;0;0;0;0;0;0;0;1
1;0;0;1;1;0;0;1;0;0;0;0;0;0;0
1;0;0;1;1;1;1;0;0;0;0;0;0;0;1
1;0;0;1;0;1;1;1;1;0;0;0;0;0;1
1;1;1;1;1;1;1;1;1;0;1;1;1;1;1
1;1;1;1;1;1;0;0;0;0;0;0;0;1;1
1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;1;0;0;1;0;0;0;1;0;0;0;0
0;0;0;0;1;1;0;1;0;0;0;0;0;0;1
1;0;1;1;0;0;1;0;0;0;0;0;0;0;0
1;1;0;0;0;0;1;0;1;0;0;0;0;1;0
1;1;1;1;1;0;1;1;0;1;0;0;1;1;1
1;1;1;1;1;0;1;0;1;0;0;0;0;0;0
0;0;1;0;1;1;0;0;0;0;0;0;1;1;1
1;0;0;1;0;1;1;0;1;0;0;0;1;1;0
1;0;1;0;1;1;1;1;0;0;0;0;0;0;0
1;0;1;1;1;1;0;1;1;1;0;0;1;0;1
1;1;0;1;1;1;1;1;1;0;0;1;1;0;1
0;0;1;1;1;1;0;0;1;0;0;1;0;0;1
1;0;0;0;1;1;0;1;0;0;0;0;0;0;1
0;0;1;1;1;1;0;0;0;1;0;1;0;0;0
0;1;0;1;0;0;1;0;0;0;0;0;0;1;0
0;0;0;0;1;0;0;1;0;0;0;1;1;0;1
1;0;1;1;0;0;1;1;0;0;0;1;0;1;0
0;0;1;0;0;0;0;0;1;0;0;1;0;0;0
0;0;1;1;0;1;0;0;0;0;0;0;0;0;0
0;0;1;1;0;0;1;0;0;0;0;0;0;0;0
0;1;0;1;0;0;1;0;0;0;0;0;0;0;0
0;0;0;1;1;1;0;0;0;0;0;0;1;0;0
1;1;0;1;0;0;1;1;0;1;0;1;1;1;0
0;0;0;1;1;1;1;0;1;0;0;0;1;0;0
1;1;0;1;0;0;0;0;1;0;0;0;0;1;0
1;1;1;1;1;1;1;1;1;0;0;1;1;1;1
0;1;1;1;0;0;0;0;1;0;0;1;1;0;0
1;0;0;0;0;1;1;0;0;0;0;0;0;1;1
1;1;1;1;1;0;0;1;0;0;0;1;0;1;0
1;0;1;1;0;0;0;0;0;0;0;0;1;0;0
1;1;0;1;1;1;1;1;1;0;0;0;1;1;1
1;1;0;1;0;0;0;1;1;0;0;0;1;0;0
1;1;0;0;1;0;0;1;0;0;0;0;0;1;0
1;1;1;1;1;1;1;1;1;1;0;0;1;0;0
1;1;0;1;1;1;0;0;1;0;0;1;0;0;0
1;1;0;1;1;1;1;1;1;0;0;1;1;0;0
1;0;1;1;0;1;0;0;1;0;0;0;1;0;0
1;0;0;1;1;1;0;0;0;0;0;0;0;0;1
1;1;1;1;0;1;1;0;0;0;0;0;0;0;0
1;1;0;1;0;0;0;0;1;0;0;1;0;0;0
0;1;1;1;0;0;1;0;1;0;0;1;1;1;0
1;0;1;1;0;1;1;1;0;0;0;0;1;0;0
1;1;1;0;1;0;1;0;1;0;0;0;0;0;0
1;1;1;1;0;1;1;1;0;1;0;1;1;1;0
1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;0;0;0;0;0;0;0;0;1;1;0
1;0;0;1;0;0;0;0;1;0;0;1;1;0;0
0;1;0;1;1;1;1;0;0;0;0;0;0;0;0
1;0;0;0;1;1;0;0;0;0;0;0;1;1;1
1;0;0;0;1;1;0;0;0;0;0;1;1;0;0
0;1;0;1;0;0;1;1;1;0;0;0;0;0;0
1;0;0;1;0;0;1;0;0;0;0;0;0;1;0
1;0;1;1;1;0;1;1;1;0;1;0;1;0;0
1;0;0;1;0;0;0;0;1;0;0;0;1;0;0
1;1;0;0;1;1;1;1;0;0;0;0;0;0;0
1;1;1;0;0;1;1;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;1;0;0;1;0;1;0
1;0;0;1;0;1;0;1;1;0;0;0;1;1;0
1;0;0;1;1;1;1;1;1;0;0;0;0;0;1
1;0;0;0;1;1;1;0;0;0;0;1;0;0;0
1;1;0;1;1;0;1;1;0;0;0;0;1;0;1
1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
0;0;0;1;1;1;0;1;0;0;0;0;0;1;1
0;0;0;1;0;0;1;1;0;0;0;1;0;0;0
0;0;0;1;1;0;0;1;0;0;0;0;1;0;1
1;1;0;1;1;0;1;1;1;0;0;0;1;1;0
0;1;0;1;0;0;1;1;1;0;0;0;1;0;1
0;1;0;0;1;1;1;0;0;0;0;0;0;1;0
0;0;0;0;0;0;0;0;1;0;1;1;1;0;0
1;0;0;1;1;0;1;1;1;0;0;0;0;1;0
1;0;0;1;1;1;0;0;0;0;0;0;1;1;1
1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
0;0;0;1;1;0;0;1;0;0;0;0;0;0;1
0;1;1;1;0;0;0;0;0;0;0;0;1;0;0
1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
1;1;0;1;1;0;1;1;0;0;0;0;0;0;0
1;0;0;1;1;1;1;0;0;0;0;0;1;1;0
1;0;0;1;0;0;1;0;0;0;0;0;0;0;0
1;1;1;1;1;1;1;1;1;0;0;0;1;1;1
1;0;0;1;0;1;1;0;0;0;0;1;0;0;0
1;1;1;1;1;0;1;1;0;0;0;1;1;0;0
0;0;0;0;1;0;0;0;0;0;0;1;1;0;0
1;0;0;1;0;1;0;1;0;0;0;0;0;0;0
0;0;0;1;1;1;1;1;1;1;1;1;1;1;1
0;0;0;0;1;0;0;1;1;0;0;1;0;0;0
1;0;1;1;0;1;0;0;0;0;0;0;0;0;0
1;1;0;1;1;1;0;0;0;0;0;0;1;1;0
1;1;1;1;1;1;1;1;0;0;0;1;1;1;1
0;0;0;1;1;0;0;1;0;0;0;0;0;0;1
1;1;1;1;0;0;1;1;0;0;0;0;0;0;0
1;0;0;1;0;1;0;0;0;0;0;1;1;1;1
1;0;0;1;0;0;0;0;0;0;0;1;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1;0;1;1;1;1;0;1;1;0;0;1;1;0;1
0;0;0;1;0;0;1;1;1;0;0;0;0;0;0
1;0;0;1;0;0;0;1;0;0;0;1;1;0;0
1;0;0;1;1;1;0;0;0;0;0;0;0;1;0
0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;1;1;1;0;0;1;1;1;1;1
1;0;1;1;0;1;1;0;0;0;0;0;0;0;0
1;0;0;1;1;1;0;1;0;0;0;0;0;0;1
1;0;0;1;1;1;0;0;0;0;0;0;0;0;0
1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
1;0;0;1;0;0;0;0;0;0;0;0;0;1;0
0;1;1;0;0;0;1;1;0;1;0;0;0;0;0
0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
1;0;1;1;0;0;1;0;0;0;0;0;1;0;0
1;1;0;1;1;1;1;1;1;0;0;0;1;0;0
1;1;0;1;1;1;1;0;0;0;0;0;1;0;0
1;1;1;1;1;1;1;1;0;0;0;1;1;1;0
1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
0;1;0;1;1;1;1;1;0;0;0;0;1;0;0
0;1;0;1;1;1;1;0;0;0;0;0;0;0;0
1;0;0;1;0;0;0;1;0;0;0;0;0;0;0
1;0;0;1;0;0;0;0;0;0;0;1;1;0;0
1;0;0;1;0;1;0;0;0;0;0;0;0;0;0
1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
1;1;0;1;0;0;0;0;0;0;0;0;1;0;0
1;0;0;1;0;1;0;0;0;0;0;0;0;0;1
0;0;0;0;1;0;0;1;0;0;0;0;1;0;0
0;0;1;0;1;0;0;1;0;0;0;0;0;1;0
1;1;0;1;1;1;1;1;1;0;0;0;1;1;0
1;0;0;0;1;1;0;0;0;0;0;0;0;0;1
